Indicator,Country,Year,Type,Governance (-2.5 to +2.5),Number of Sources,Percentile Rank,Standard Error
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Monaco,2020,Country,0.892201483,2,76.886795044,0.364147425
Political Stability and Absence of Violence/Terrorism,San Marino,2020,Country,0.892201483,2,76.886795044,0.364147425
Political Stability and Absence of Violence/Terrorism,Andorra,2020,Country,1.616035223,3,99.056602478,0.285638899
Political Stability and Absence of Violence/Terrorism,Liechtenstein,2020,Country,1.693371892,4,99.528305054,0.251161903
Political Stability and Absence of Violence/Terrorism,Cyprus,2020,Country,0.308603942,6,56.132076263,0.234502271
Political Stability and Absence of Violence/Terrorism,Romania,2020,Country,0.531862140,7,63.679244995,0.229722217
Political Stability and Absence of Violence/Terrorism,Croatia,2020,Country,0.611546874,7,65.566040039,0.229722217
Political Stability and Absence of Violence/Terrorism,Monaco,2020,Country,0.892201483,2,76.886795044,0.364147425
Political Stability and Absence of Violence/Terrorism,San Marino,2020,Country,0.892201483,2,76.886795044,0.364147425
Political Stability and Absence of Violence/Terrorism,Andorra,2020,Country,1.616035223,3,99.056602478,0.285638899
Political Stability and Absence of Violence/Terrorism,Liechtenstein,2020,Country,1.693371892,4,99.528305054,0.251161903
Political Stability and Absence of Violence/Terrorism,Cyprus,2020,Country,0.308603942,6,56.132076263,0.234502271
Political Stability and Absence of Violence/Terrorism,Croatia,2020,Country,0.611546874,7,65.566040039,0.229722217
Political Stability and Absence of Violence/Terrorism,Romania,2020,Country,0.531862140,7,63.679244995,0.229722217
Political Stability and Absence of Violence/Terrorism,Cyprus,2020,Country,0.308603942,6,56.132076263,0.234502271
Political Stability and Absence of Violence/Terrorism,Croatia,2020,Country,0.611546874,7,65.566040039,0.229722217
Political Stability and Absence of Violence/Terrorism,Romania,2020,Country,0.531862140,7,63.679244995,0.229722217
Political Stability and Absence of Violence/Terrorism,Croatia,2020,Country,0.611546874,7,65.566040039,0.229722217
Political Stability and Absence of Violence/Terrorism,Romania,2020,Country,0.531862140,7,63.679244995,0.229722217
Political Stability and Absence of Violence/Terrorism,Armenia,2020,Country,-0.760855317,5,20.283018112,0.241320118
Political Stability and Absence of Violence/Terrorism,Albania,2020,Country,0.087552309,6,49.528301239,0.236120239
Political Stability and Absence of Violence/Terrorism,Ukraine,2020,Country,-1.137996554,7,12.264150620,0.229722217
Political Stability and Absence of Violence/Terrorism,Armenia,2020,Country,-0.760855317,5,20.283018112,0.241320118
Political Stability and Absence of Violence/Terrorism,Albania,2020,Country,0.087552309,6,49.528301239,0.236120239
Political Stability and Absence of Violence/Terrorism,Ukraine,2020,Country,-1.137996554,7,12.264150620,0.229722217
Political Stability and Absence of Violence/Terrorism,Armenia,2020,Country,-0.760855317,5,20.283018112,0.241320118
Political Stability and Absence of Violence/Terrorism,Albania,2020,Country,0.087552309,6,49.528301239,0.236120239
Political Stability and Absence of Violence/Terrorism,Ukraine,2020,Country,-1.137996554,7,12.264150620,0.229722217
Political Stability and Absence of Violence/Terrorism,Albania,2020,Country,0.087552309,6,49.528301239,0.236120239
Political Stability and Absence of Violence/Terrorism,Ukraine,2020,Country,-1.137996554,7,12.264150620,0.229722217
Political Stability and Absence of Violence/Terrorism,Kazakhstan,2020,Country,-0.256105691,8,38.679244995,0.214171290
Political Stability and Absence of Violence/Terrorism,Montenegro,2020,Country,-0.059554223,4,46.698112488,0.251161903
Political Stability and Absence of Violence/Terrorism,Azerbaijan,2020,Country,-0.839061499,5,18.396226883,0.241320118
Political Stability and Absence of Violence/Terrorism,Georgia,2020,Country,-0.415690362,5,33.018867493,0.245315120
Political Stability and Absence of Violence/Terrorism,North Macedonia,2020,Country,0.108251318,5,50.471698761,0.245315120
Political Stability and Absence of Violence/Terrorism,Bosnia and Herzegovina,2020,Country,-0.443297356,5,30.660377502,0.245315120
Political Stability and Absence of Violence/Terrorism,Belarus,2020,Country,-0.895924509,6,16.509433746,0.236120239
Political Stability and Absence of Violence/Terrorism,Moldova,2020,Country,-0.348765284,6,35.377357483,0.236120239
Political Stability and Absence of Violence/Terrorism,Serbia,2020,Country,-0.163741484,6,41.981132507,0.236120239
Political Stability and Absence of Violence/Terrorism,Türkiye,2020,Country,-1.136895299,7,12.735849380,0.229722217
Political Stability and Absence of Violence/Terrorism,Russian Federation,2020,Country,-0.683706701,7,22.641510010,0.229722217
Political Stability and Absence of Violence/Terrorism,Bulgaria,2020,Country,0.418060213,7,58.018867493,0.229722217
Political Stability and Absence of Violence/Terrorism,Kazakhstan,2020,Country,-0.256105691,8,38.679244995,0.214171290
Political Stability and Absence of Violence/Terrorism,Montenegro,2020,Country,-0.059554223,4,46.698112488,0.251161903
Political Stability and Absence of Violence/Terrorism,Azerbaijan,2020,Country,-0.839061499,5,18.396226883,0.241320118
Political Stability and Absence of Violence/Terrorism,Bosnia and Herzegovina,2020,Country,-0.443297356,5,30.660377502,0.245315120
Political Stability and Absence of Violence/Terrorism,Georgia,2020,Country,-0.415690362,5,33.018867493,0.245315120
Political Stability and Absence of Violence/Terrorism,North Macedonia,2020,Country,0.108251318,5,50.471698761,0.245315120
Political Stability and Absence of Violence/Terrorism,Belarus,2020,Country,-0.895924509,6,16.509433746,0.236120239
Political Stability and Absence of Violence/Terrorism,Moldova,2020,Country,-0.348765284,6,35.377357483,0.236120239
Political Stability and Absence of Violence/Terrorism,Serbia,2020,Country,-0.163741484,6,41.981132507,0.236120239
Political Stability and Absence of Violence/Terrorism,Russian Federation,2020,Country,-0.683706701,7,22.641510010,0.229722217
Political Stability and Absence of Violence/Terrorism,Türkiye,2020,Country,-1.136895299,7,12.735849380,0.229722217
Political Stability and Absence of Violence/Terrorism,Bulgaria,2020,Country,0.418060213,7,58.018867493,0.229722217
Political Stability and Absence of Violence/Terrorism,Kazakhstan,2020,Country,-0.256105691,8,38.679244995,0.214171290
Political Stability and Absence of Violence/Terrorism,Azerbaijan,2020,Country,-0.839061499,5,18.396226883,0.241320118
Political Stability and Absence of Violence/Terrorism,Moldova,2020,Country,-0.348765284,6,35.377357483,0.236120239
Political Stability and Absence of Violence/Terrorism,Serbia,2020,Country,-0.163741484,6,41.981132507,0.236120239
Political Stability and Absence of Violence/Terrorism,Belarus,2020,Country,-0.895924509,6,16.509433746,0.236120239
Political Stability and Absence of Violence/Terrorism,Türkiye,2020,Country,-1.136895299,7,12.735849380,0.229722217
Political Stability and Absence of Violence/Terrorism,Russian Federation,2020,Country,-0.683706701,7,22.641510010,0.229722217
Political Stability and Absence of Violence/Terrorism,Bulgaria,2020,Country,0.418060213,7,58.018867493,0.229722217
Political Stability and Absence of Violence/Terrorism,Kazakhstan,2020,Country,-0.256105691,8,38.679244995,0.214171290
Political Stability and Absence of Violence/Terrorism,Bosnia and Herzegovina,2020,Country,-0.443297356,5,30.660377502,0.245315120
Political Stability and Absence of Violence/Terrorism,Georgia,2020,Country,-0.415690362,5,33.018867493,0.245315120
Political Stability and Absence of Violence/Terrorism,North Macedonia,2020,Country,0.108251318,5,50.471698761,0.245315120
Political Stability and Absence of Violence/Terrorism,Belarus,2020,Country,-0.895924509,6,16.509433746,0.236120239
Political Stability and Absence of Violence/Terrorism,Moldova,2020,Country,-0.348765284,6,35.377357483,0.236120239
Political Stability and Absence of Violence/Terrorism,Serbia,2020,Country,-0.163741484,6,41.981132507,0.236120239
Political Stability and Absence of Violence/Terrorism,Türkiye,2020,Country,-1.136895299,7,12.735849380,0.229722217
Political Stability and Absence of Violence/Terrorism,Russian Federation,2020,Country,-0.683706701,7,22.641510010,0.229722217
Political Stability and Absence of Violence/Terrorism,Bulgaria,2020,Country,0.418060213,7,58.018867493,0.229722217
Political Stability and Absence of Violence/Terrorism,Kazakhstan,2020,Country,-0.256105691,8,38.679244995,0.214171290
Political Stability and Absence of Violence/Terrorism,Malta,2020,Country,1.014233351,5,83.962265015,0.241320118
Political Stability and Absence of Violence/Terrorism,Malta,2020,Country,1.014233351,5,83.962265015,0.241320118
Political Stability and Absence of Violence/Terrorism,Malta,2020,Country,1.014233351,5,83.962265015,0.241320118
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Greece,2020,Country,0.131213710,7,51.886791229,0.229722217
Political Stability and Absence of Violence/Terrorism,Austria,2020,Country,0.912809432,7,77.358489990,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
Political Stability and Absence of Violence/Terrorism,Germany,2020,Country,0.684574544,7,69.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Finland,2020,Country,1.005103469,7,82.547172546,0.229722217
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Hungary,2020,Country,0.843145311,7,73.113204956,0.229722217
Political Stability and Absence of Violence/Terrorism,Italy,2020,Country,0.428431302,7,59.433963776,0.229722217
Political Stability and Absence of Violence/Terrorism,Netherlands,2020,Country,0.859951735,7,74.528305054,0.229722217
Political Stability and Absence of Violence/Terrorism,Norway,2020,Country,1.246279836,7,94.339622498,0.229722217
Political Stability and Absence of Violence/Terrorism,Poland,2020,Country,0.516105413,7,62.264152527,0.229722217
Political Stability and Absence of Violence/Terrorism,Portugal,2020,Country,1.021689177,7,84.433959961,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Sweden,2020,Country,1.026380301,7,86.320755005,0.229722217
Political Stability and Absence of Violence/Terrorism,United Kingdom,2020,Country,0.491468996,8,61.320755005,0.214171290
Political Stability and Absence of Violence/Terrorism,Latvia,2020,Country,0.474999398,6,60.849056244,0.234502271
Political Stability and Absence of Violence/Terrorism,Slovak Republic,2020,Country,0.632325232,6,67.452827454,0.234502271
Political Stability and Absence of Violence/Terrorism,Lithuania,2020,Country,0.927757382,6,78.773582458,0.234502271
Political Stability and Absence of Violence/Terrorism,Switzerland,2020,Country,1.191661119,6,93.396224976,0.234502271
Political Stability and Absence of Violence/Terrorism,Luxembourg,2020,Country,1.230695248,6,93.867927551,0.234502271
Political Stability and Absence of Violence/Terrorism,Ireland,2020,Country,0.978661597,6,82.075469971,0.234502271
Political Stability and Absence of Violence/Terrorism,Iceland,2020,Country,1.381934285,6,96.226417542,0.234502271
Political Stability and Absence of Violence/Terrorism,France,2020,Country,0.324910909,7,57.075469971,0.229722217
Political Stability and Absence of Violence/Terrorism,Estonia,2020,Country,0.718465984,7,70.754714966,0.229722217
Political Stability and Absence of Violence/Terrorism,Slovenia,2020,Country,0.710935533,7,70.283020020,0.229722217
Political Stability and Absence of Violence/Terrorism,Belgium,2020,Country,0.543469667,7,64.150939941,0.229722217
Political Stability and Absence of Violence/Terrorism,Spain,2020,Country,0.437478542,7,59.905658722,0.229722217
Political Stability and Absence of Violence/Terrorism,Denmark,2020,Country,0.950011313,7,81.132072449,0.229722217
Political Stability and Absence of Violence/Terrorism,Czech Republic,2020,Country,0.922095716,7,78.301887512,0.229722217
