Country,Governance (-2.5 to +2.5)
Switzerland,2.010252953
United Kingdom,1.368001223
Belgium,1.116143942
Iceland,1.514867783
Switzerland,2.010252953
Belgium,1.116143942
United Kingdom,1.368001223
Iceland,1.514867783
Switzerland,2.010252953
Greece,0.437608153
Italy,0.393574446
Sweden,1.709824443
Germany,1.352196813
Ireland,1.471392989
Spain,0.887231767
France,1.239420533
Denmark,1.881267548
Luxembourg,1.832707167
Portugal,1.015471339
Austria,1.645901203
Finland,1.939224124
Netherlands,1.843825102
Greece,0.437608153
Italy,0.393574446
Germany,1.352196813
Portugal,1.015471339
Spain,0.887231767
France,1.239420533
Finland,1.939224124
Ireland,1.471392989
Denmark,1.881267548
Austria,1.645901203
Luxembourg,1.832707167
Sweden,1.709824443
Netherlands,1.843825102
Italy,0.393574446
Spain,0.887231767
Portugal,1.015471339
Germany,1.352196813
France,1.239420533
Greece,0.437608153
Austria,1.645901203
Ireland,1.471392989
Finland,1.939224124
Netherlands,1.843825102
Sweden,1.709824443
Luxembourg,1.832707167
Denmark,1.881267548
Slovak Republic,0.537019551
Hungary,0.573773086
Czech Republic,0.949175954
Latvia,0.874574065
Poland,0.359848201
Lithuania,1.050779223
Slovenia,1.158009291
Estonia,1.334767699
Slovak Republic,0.537019551
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Poland,0.359848201
Czech Republic,0.949175954
Estonia,1.334767699
Slovenia,1.158009291
Poland,0.359848201
Slovak Republic,0.537019551
Czech Republic,0.949175954
Slovenia,1.158009291
Latvia,0.874574065
Hungary,0.573773086
Estonia,1.334767699
Lithuania,1.050779223
Cyprus,0.875510335
Cyprus,0.875510335
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Romania,-0.257351339
Croatia,0.461028814
Croatia,0.461028814
Romania,-0.257351339
Albania,-0.124956653
Albania,-0.124956653
Ukraine,-0.382993966
Armenia,-0.274477035
Armenia,-0.274477035
Ukraine,-0.382993966
Ukraine,-0.382993966
North Macedonia,0.063724369
North Macedonia,0.063724369
Belarus,-0.798498213
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Serbia,-0.010254648
Montenegro,-0.070892140
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Malta,1.031469941
Norway,1.927046537
Norway,1.927046537
Iceland,1.514867783
United Kingdom,1.368001223
Switzerland,2.010252953
United Kingdom,1.368001223
Belgium,1.116143942
Iceland,1.514867783
Switzerland,2.010252953
Belgium,1.116143942
United Kingdom,1.368001223
Iceland,1.514867783
Switzerland,2.010252953
Greece,0.437608153
Italy,0.393574446
Sweden,1.709824443
Germany,1.352196813
Ireland,1.471392989
Spain,0.887231767
France,1.239420533
Denmark,1.881267548
Luxembourg,1.832707167
Portugal,1.015471339
Austria,1.645901203
Finland,1.939224124
Netherlands,1.843825102
Greece,0.437608153
Italy,0.393574446
Germany,1.352196813
Portugal,1.015471339
Spain,0.887231767
France,1.239420533
Finland,1.939224124
Ireland,1.471392989
Denmark,1.881267548
Austria,1.645901203
Luxembourg,1.832707167
Sweden,1.709824443
Netherlands,1.843825102
Italy,0.393574446
Spain,0.887231767
Portugal,1.015471339
Germany,1.352196813
France,1.239420533
Greece,0.437608153
Austria,1.645901203
Ireland,1.471392989
Finland,1.939224124
Netherlands,1.843825102
Sweden,1.709824443
Luxembourg,1.832707167
Denmark,1.881267548
Slovak Republic,0.537019551
Hungary,0.573773086
Czech Republic,0.949175954
Latvia,0.874574065
Poland,0.359848201
Lithuania,1.050779223
Slovenia,1.158009291
Estonia,1.334767699
Slovak Republic,0.537019551
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Poland,0.359848201
Czech Republic,0.949175954
Estonia,1.334767699
Slovenia,1.158009291
Poland,0.359848201
Slovak Republic,0.537019551
Czech Republic,0.949175954
Slovenia,1.158009291
Latvia,0.874574065
Hungary,0.573773086
Estonia,1.334767699
Lithuania,1.050779223
Cyprus,0.875510335
Cyprus,0.875510335
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Romania,-0.257351339
Croatia,0.461028814
Croatia,0.461028814
Romania,-0.257351339
Albania,-0.124956653
Albania,-0.124956653
Ukraine,-0.382993966
Armenia,-0.274477035
Armenia,-0.274477035
Ukraine,-0.382993966
Ukraine,-0.382993966
North Macedonia,0.063724369
North Macedonia,0.063724369
Belarus,-0.798498213
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Serbia,-0.010254648
Montenegro,-0.070892140
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Malta,1.031469941
Norway,1.927046537
Norway,1.927046537
Iceland,1.514867783
United Kingdom,1.368001223
Switzerland,2.010252953
United Kingdom,1.368001223
Belgium,1.116143942
Iceland,1.514867783
Switzerland,2.010252953
Belgium,1.116143942
United Kingdom,1.368001223
Iceland,1.514867783
Switzerland,2.010252953
Greece,0.437608153
Italy,0.393574446
Sweden,1.709824443
Germany,1.352196813
Ireland,1.471392989
Spain,0.887231767
France,1.239420533
Denmark,1.881267548
Luxembourg,1.832707167
Portugal,1.015471339
Austria,1.645901203
Finland,1.939224124
Netherlands,1.843825102
Greece,0.437608153
Italy,0.393574446
Germany,1.352196813
Portugal,1.015471339
Spain,0.887231767
France,1.239420533
Finland,1.939224124
Ireland,1.471392989
Romania,-0.257351339
Croatia,0.461028814
Armenia,-0.274477035
Albania,-0.124956653
Armenia,-0.274477035
Ukraine,-0.382993966
Moldova,-0.514038086
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Montenegro,-0.070892140
Türkiye,-0.127560288
Moldova,-0.514038086
Belarus,-0.798498213
Azerbaijan,-0.116941825
Serbia,-0.010254648
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Norway,1.927046537
Belgium,1.116143942
United Kingdom,1.368001223
Switzerland,2.010252953
Iceland,1.514867783
Spain,0.887231767
Italy,0.393574446
France,1.239420533
Greece,0.437608153
Ireland,1.471392989
Portugal,1.015471339
Germany,1.352196813
Finland,1.939224124
Netherlands,1.843825102
Austria,1.645901203
Luxembourg,1.832707167
Sweden,1.709824443
Denmark,1.881267548
Slovak Republic,0.537019551
Estonia,1.334767699
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Poland,0.359848201
Slovenia,1.158009291
Czech Republic,0.949175954
Andorra,1.816116333
Liechtenstein,1.814592600
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Albania,-0.124956653
Ukraine,-0.382993966
Armenia,-0.274477035
Belarus,-0.798498213
Moldova,-0.514038086
Georgia,0.753325582
North Macedonia,0.063724369
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Denmark,1.881267548
Austria,1.645901203
Luxembourg,1.832707167
Sweden,1.709824443
Netherlands,1.843825102
Italy,0.393574446
Spain,0.887231767
Portugal,1.015471339
Germany,1.352196813
France,1.239420533
Greece,0.437608153
Austria,1.645901203
Ireland,1.471392989
Finland,1.939224124
Netherlands,1.843825102
Sweden,1.709824443
Luxembourg,1.832707167
Denmark,1.881267548
Slovak Republic,0.537019551
Hungary,0.573773086
Czech Republic,0.949175954
Latvia,0.874574065
Poland,0.359848201
Lithuania,1.050779223
Slovenia,1.158009291
Estonia,1.334767699
Slovak Republic,0.537019551
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Poland,0.359848201
Czech Republic,0.949175954
Estonia,1.334767699
Slovenia,1.158009291
Poland,0.359848201
Slovak Republic,0.537019551
Czech Republic,0.949175954
Slovenia,1.158009291
Latvia,0.874574065
Hungary,0.573773086
Estonia,1.334767699
Lithuania,1.050779223
Cyprus,0.875510335
Cyprus,0.875510335
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Romania,-0.257351339
Croatia,0.461028814
Croatia,0.461028814
Romania,-0.257351339
Albania,-0.124956653
Albania,-0.124956653
Ukraine,-0.382993966
Armenia,-0.274477035
Armenia,-0.274477035
Ukraine,-0.382993966
Ukraine,-0.382993966
North Macedonia,0.063724369
North Macedonia,0.063724369
Belarus,-0.798498213
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Serbia,-0.010254648
Montenegro,-0.070892140
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Malta,1.031469941
Lithuania,1.050779223
Slovenia,1.158009291
Czech Republic,0.949175954
Estonia,1.334767699
Cyprus,0.875510335
Croatia,0.461028814
Romania,-0.257351339
Bulgaria,-0.182731494
Malta,1.031469941
Belgium,1.116143942
Greece,0.437608153
Italy,0.393574446
Spain,0.887231767
Portugal,1.015471339
Sweden,1.709824443
Germany,1.352196813
France,1.239420533
Denmark,1.881267548
Ireland,1.471392989
Austria,1.645901203
Netherlands,1.843825102
Finland,1.939224124
Luxembourg,1.832707167
Poland,0.359848201
Slovak Republic,0.537019551
Latvia,0.874574065
Hungary,0.573773086
Lithuania,1.050779223
Slovenia,1.158009291
Czech Republic,0.949175954
Estonia,1.334767699
Cyprus,0.875510335
Croatia,0.461028814
Romania,-0.257351339
Bulgaria,-0.182731494
Malta,1.031469941
Ukraine,-0.382993966
Armenia,-0.274477035
Belarus,-0.798498213
Moldova,-0.514038086
Georgia,0.753325582
North Macedonia,0.063724369
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Norway,1.927046537
Belgium,1.116143942
United Kingdom,1.368001223
Switzerland,2.010252953
Iceland,1.514867783
Spain,0.887231767
Italy,0.393574446
France,1.239420533
Greece,0.437608153
Ireland,1.471392989
Portugal,1.015471339
Germany,1.352196813
Finland,1.939224124
Netherlands,1.843825102
Austria,1.645901203
Luxembourg,1.832707167
Sweden,1.709824443
Denmark,1.881267548
Slovak Republic,0.537019551
Estonia,1.334767699
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Poland,0.359848201
Slovenia,1.158009291
Czech Republic,0.949175954
Andorra,1.816116333
Liechtenstein,1.814592600
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Albania,-0.124956653
Ukraine,-0.382993966
Armenia,-0.274477035
Belarus,-0.798498213
Moldova,-0.514038086
Georgia,0.753325582
North Macedonia,0.063724369
Bosnia and Herzegovina,-1.043453574
Montenegro,-0.070892140
Serbia,-0.010254648
Azerbaijan,-0.116941825
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Netherlands,1.843825102
Germany,1.352196813
Denmark,1.881267548
France,1.239420533
Ireland,1.471392989
Finland,1.939224124
Sweden,1.709824443
Hungary,0.573773086
Poland,0.359848201
Slovenia,1.158009291
Slovak Republic,0.537019551
Czech Republic,0.949175954
Latvia,0.874574065
Estonia,1.334767699
Lithuania,1.050779223
Poland,0.359848201
Czech Republic,0.949175954
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Slovak Republic,0.537019551
Slovenia,1.158009291
Estonia,1.334767699
Liechtenstein,1.814592600
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Croatia,0.461028814
Romania,-0.257351339
Albania,-0.124956653
Albania,-0.124956653
Armenia,-0.274477035
Ukraine,-0.382993966
Armenia,-0.274477035
Ukraine,-0.382993966
Belarus,-0.798498213
Moldova,-0.514038086
Georgia,0.753325582
North Macedonia,0.063724369
Belarus,-0.798498213
Moldova,-0.514038086
North Macedonia,0.063724369
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Serbia,-0.010254648
Montenegro,-0.070892140
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Montenegro,-0.070892140
Serbia,-0.010254648
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Türkiye,-0.127560288
Bulgaria,-0.182731494
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Norway,1.927046537
Belgium,1.116143942
Switzerland,2.010252953
United Kingdom,1.368001223
Iceland,1.514867783
Greece,0.437608153
Italy,0.393574446
Portugal,1.015471339
Austria,1.645901203
Spain,0.887231767
Luxembourg,1.832707167
Netherlands,1.843825102
Germany,1.352196813
Denmark,1.881267548
France,1.239420533
Ireland,1.471392989
Finland,1.939224124
Sweden,1.709824443
Hungary,0.573773086
Poland,0.359848201
Slovenia,1.158009291
Slovak Republic,0.537019551
Czech Republic,0.949175954
Latvia,0.874574065
Estonia,1.334767699
Lithuania,1.050779223
Poland,0.359848201
Czech Republic,0.949175954
Hungary,0.573773086
Lithuania,1.050779223
Latvia,0.874574065
Slovak Republic,0.537019551
Slovenia,1.158009291
Estonia,1.334767699
Liechtenstein,1.814592600
Cyprus,0.875510335
Romania,-0.257351339
Croatia,0.461028814
Croatia,0.461028814
Romania,-0.257351339
Albania,-0.124956653
Albania,-0.124956653
Armenia,-0.274477035
Ukraine,-0.382993966
Armenia,-0.274477035
Ukraine,-0.382993966
Belarus,-0.798498213
Moldova,-0.514038086
Georgia,0.753325582
North Macedonia,0.063724369
Belarus,-0.798498213
Moldova,-0.514038086
North Macedonia,0.063724369
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Serbia,-0.010254648
Montenegro,-0.070892140
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Montenegro,-0.070892140
Serbia,-0.010254648
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Türkiye,-0.127560288
Bulgaria,-0.182731494
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
Romania,-0.257351339
Croatia,0.461028814
Armenia,-0.274477035
Albania,-0.124956653
Armenia,-0.274477035
Ukraine,-0.382993966
Moldova,-0.514038086
Georgia,0.753325582
Bosnia and Herzegovina,-1.043453574
Azerbaijan,-0.116941825
Montenegro,-0.070892140
Türkiye,-0.127560288
Moldova,-0.514038086
Belarus,-0.798498213
Azerbaijan,-0.116941825
Serbia,-0.010254648
Russian Federation,-0.077657536
Kazakhstan,0.137930825
Bulgaria,-0.182731494
Türkiye,-0.127560288
Malta,1.031469941
